Stock,Transaction Date,Buy/Sell,Type,Amount,Senator
GE,2019-07-25,Sale,Stock,"$1,001 - $15,000","David a Perdue , jr"
PYPL,2019-07-25,Purchase,Stock,"$1,001 - $15,000","David a Perdue , jr"
JCI,2019-07-25,Sale,Stock,"$1,001 - $15,000","David a Perdue , jr"
SUN,2019-08-02,Sale,Stock,"$1,001 - $15,000","David a Perdue , jr"
KR,2019-08-02,Purchase,Stock,"$15,001 - $50,000","David a Perdue , jr"
GPK,2019-08-02,Purchase,Stock,"$1,001 - $15,000","David a Perdue , jr"
CZR,2019-08-02,Sale,Stock,"$1,001 - $15,000","David a Perdue , jr"
GPK,2019-08-02,Purchase,Stock,"$1,001 - $15,000","David a Perdue , jr"
GPK,2019-08-01,Purchase,Stock,"$1,001 - $15,000","David a Perdue , jr"
CZR,2019-08-01,Sale,Stock,"$1,001 - $15,000","David a Perdue , jr"
ENTG,2019-08-01,Sale,Stock,"$1,001 - $15,000","David a Perdue , jr"
HBI,2019-08-01,Purchase,Stock,"$1,001 - $15,000","David a Perdue , jr"
GPK,2019-07-31,Purchase,Stock,"$1,001 - $15,000","David a Perdue , jr"
GPK,2019-07-30,Purchase,Stock,"$1,001 - $15,000","David a Perdue , jr"
CZR,2019-07-23,Sale,Stock,"$1,001 - $15,000","David a Perdue , jr"
CZR,2019-07-19,Sale,Stock,"$1,001 - $15,000","David a Perdue , jr"
CZR,2019-07-18,Sale,Stock,"$1,001 - $15,000","David a Perdue , jr"
CZR,2019-07-17,Sale,Stock,"$1,001 - $15,000","David a Perdue , jr"
CZR,2019-07-16,Sale,Stock,"$1,001 - $15,000","David a Perdue , jr"
MYL,2019-07-15,Sale,Stock,"$1,001 - $15,000","David a Perdue , jr"
ABBV,2019-07-15,Sale,Stock,"$15,001 - $50,000","David a Perdue , jr"
BMY,2019-07-15,Purchase,Stock,"$15,001 - $50,000","David a Perdue , jr"
DOW,2019-07-15,Purchase,Stock,"$15,001 - $50,000","David a Perdue , jr"
DOW,2019-07-15,Purchase,Stock,"$15,001 - $50,000","David a Perdue , jr"
DD,2019-07-15,Sale,Stock,"$1,001 - $15,000","David a Perdue , jr"
DD,2019-07-15,Sale,Stock,"$1,001 - $15,000","David a Perdue , jr"
ENTG,2019-07-12,Purchase,Stock,"$1,001 - $15,000","David a Perdue , jr"
MSM,2019-07-10,Purchase,Stock,"$1,001 - $15,000","David a Perdue , jr"
CZR,2019-07-10,Sale,Stock,"$1,001 - $15,000","David a Perdue , jr"
BWXT,2019-07-09,Sale,Stock,"$15,001 - $50,000","David a Perdue , jr"
CZR,2019-07-08,Sale,Stock,"$1,001 - $15,000","David a Perdue , jr"
BWXT,2019-07-08,Sale,Stock,"$1,001 - $15,000","David a Perdue , jr"
CZR,2019-07-02,Sale,Stock,"$1,001 - $15,000","David a Perdue , jr"
CZR,2019-07-01,Sale,Stock,"$1,001 - $15,000","David a Perdue , jr"
PFE,2017-02-27,Purchase,Stock,"$1,001 - $15,000","David a Perdue , jr"
ENTG,2017-02-24,Sale,Stock,"$1,001 - $15,000","David a Perdue , jr"
WOOF,2017-02-23,Sale,Stock,"$15,001 - $50,000","David a Perdue , jr"
PFE,2017-02-22,Purchase,Stock,"$15,001 - $50,000","David a Perdue , jr"
PFE,2017-02-17,Purchase,Stock,"$1,001 - $15,000","David a Perdue , jr"
PFE,2017-02-16,Purchase,Stock,"$1,001 - $15,000","David a Perdue , jr"
PFE,2017-02-14,Purchase,Stock,"$1,001 - $15,000","David a Perdue , jr"
ENTG,2017-02-14,Sale,Stock,"$1,001 - $15,000","David a Perdue , jr"
BAX,2017-02-13,Sale,Stock,"$1,001 - $15,000","David a Perdue , jr"
PFE,2017-02-13,Purchase,Stock,"$1,001 - $15,000","David a Perdue , jr"
VIAB,2017-02-10,Sale,Stock,"$1,001 - $15,000","David a Perdue , jr"
WOOF,2017-02-10,Sale,Stock,"$1,001 - $15,000","David a Perdue , jr"
PFE,2017-02-10,Purchase,Stock,"$1,001 - $15,000","David a Perdue , jr"
WOOF,2017-02-09,Sale,Stock,"$1,001 - $15,000","David a Perdue , jr"
PFE,2017-02-09,Purchase,Stock,"$1,001 - $15,000","David a Perdue , jr"
PG,2017-02-08,Sale,Stock,"$15,001 - $50,000","David a Perdue , jr"
AMZN,2017-02-08,Purchase,Stock,"$15,001 - $50,000","David a Perdue , jr"
ORCL,2017-02-08,Purchase,Stock,"$15,001 - $50,000","David a Perdue , jr"
BAX,2017-02-08,Sale,Stock,"$1,001 - $15,000","David a Perdue , jr"
PFE,2017-02-08,Purchase,Stock,"$1,001 - $15,000","David a Perdue , jr"
PKI,2017-02-08,Sale,Stock,"$1,001 - $15,000","David a Perdue , jr"
WOOF,2017-02-06,Sale,Stock,"$1,001 - $15,000","David a Perdue , jr"
FEYE,2017-02-07,Purchase,Stock,"$1,001 - $15,000","David a Perdue , jr"
PFE,2017-02-07,Purchase,Stock,"$1,001 - $15,000","David a Perdue , jr"
PFE,2017-02-07,Purchase,Stock,"$1,001 - $15,000","David a Perdue , jr"
PFE,2017-02-06,Purchase,Stock,"$1,001 - $15,000","David a Perdue , jr"
