Stock,Transaction Date,Buy/Sell,Type,Amount,Senator,Price
GD,2018-04-24,Purchase,Stock,"$1,001 - $15,000",Shelley m Capito,194.38482666015625
FDS,2018-04-24,Purchase,Stock,"$1,001 - $15,000",Shelley m Capito,183.04148864746094
XOM,2018-04-24,Purchase,Stock,"$1,001 - $15,000",Shelley m Capito,59.387794494628906
ES,2018-04-24,Purchase,Stock,"$1,001 - $15,000",Shelley m Capito,50.36833190917969
EMR,2018-04-24,Purchase,Stock,"$1,001 - $15,000",Shelley m Capito,59.184654235839844
CL,2018-04-24,Purchase,Stock,"$1,001 - $15,000",Shelley m Capito,58.67880630493164
CLX,2018-04-24,Purchase,Stock,"$1,001 - $15,000",Shelley m Capito,99.94979095458984
CSCO,2018-04-24,Purchase,Stock,"$1,001 - $15,000",Shelley m Capito,37.04417419433594
CB,2018-04-24,Purchase,Stock,"$1,001 - $15,000",Shelley m Capito,122.03215789794922
CVX,2018-04-24,Purchase,Stock,"$1,001 - $15,000",Shelley m Capito,96.63701629638672
BLK,2018-04-24,Purchase,Stock,"$1,001 - $15,000",Shelley m Capito,444.685546875
BDX,2018-04-24,Purchase,Stock,"$1,001 - $15,000",Shelley m Capito,209.31431579589844
ADP,2018-04-24,Purchase,Stock,"$1,001 - $15,000",Shelley m Capito,103.79244995117188
ADI,2018-04-24,Purchase,Stock,"$1,001 - $15,000",Shelley m Capito,78.90359497070312
AMGN,2018-04-24,Purchase,Stock,"$1,001 - $15,000",Shelley m Capito,145.57437133789062
APD,2018-04-24,Purchase,Stock,"$1,001 - $15,000",Shelley m Capito,144.2041473388672
ACN,2018-04-24,Purchase,Stock,"$1,001 - $15,000",Shelley m Capito,139.5727081298828
ABT,2018-04-24,Purchase,Stock,"$1,001 - $15,000",Shelley m Capito,53.15998077392578
T,2018-04-24,Purchase,Stock,"$1,001 - $15,000",Shelley m Capito,17.00458335876465
AFL,2018-04-24,Purchase,Stock,"$1,001 - $15,000",Shelley m Capito,39.532958984375
VGK,2018-04-24,Sale,Stock,"$15,001 - $50,000",Shelley m Capito,49.36581802368164
UBSI,2018-04-24,Sale,Stock,"$15,001 - $50,000",Shelley m Capito,28.14415168762207
MS,2018-04-24,Sale,Stock,"$1,001 - $15,000",Shelley m Capito,45.230674743652344
LULU,2018-04-24,Sale,Stock,"$1,001 - $15,000",Shelley m Capito,96.9000015258789
IYE,2018-04-24,Sale,Stock,"$15,001 - $50,000",Shelley m Capito,31.874650955200195
KHC,2018-04-24,Sale,Stock,"$1,001 - $15,000",Shelley m Capito,43.74764633178711
CLB,2018-04-24,Sale,Stock,"$1,001 - $15,000",Shelley m Capito,111.16881561279297
CME,2018-04-24,Sale,Stock,"$15,001 - $50,000",Shelley m Capito,135.4907989501953
AL,2018-04-24,Sale,Stock,"$1,001 - $15,000",Shelley m Capito,38.08784103393555
WEC,2018-04-05,Purchase,Stock,"$1,001 - $15,000",Shelley m Capito,53.67723846435547
WMT,2018-04-05,Purchase,Stock,"$1,001 - $15,000",Shelley m Capito,79.69851684570312
VFC,2018-04-05,Purchase,Stock,"$1,001 - $15,000",Shelley m Capito,60.670570373535156
USB,2018-04-05,Purchase,Stock,"$1,001 - $15,000",Shelley m Capito,41.419612884521484
MMM,2018-04-05,Purchase,Stock,"$1,001 - $15,000",Shelley m Capito,177.98599243164062
SYY,2018-04-05,Purchase,Stock,"$1,001 - $15,000",Shelley m Capito,52.4837646484375
PII,2018-04-05,Purchase,Stock,"$1,001 - $15,000",Shelley m Capito,103.92723846435547
PSX,2018-04-05,Purchase,Stock,"$1,001 - $15,000",Shelley m Capito,77.93855285644531
PEP,2018-04-05,Purchase,Stock,"$1,001 - $15,000",Shelley m Capito,94.29954528808594
PAYX,2018-04-05,Purchase,Stock,"$1,001 - $15,000",Shelley m Capito,52.87141799926758
